State Code,County Code,Parameter Name,Units of Measure,Arithmetic Mean
17,163,SO2 max 5-min avg,Parts per billion,1.106667
17,163,Nitric oxide (NO),Parts per billion,3.461151
17,163,Nitrogen dioxide (NO2),Parts per billion,19.398333
17,163,Nitrogen dioxide (NO2),Parts per billion,8.98331
17,163,Oxides of nitrogen (NOx),Parts per billion,12.473651
17,163,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.2375
17,163,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.2375
17,163,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.2375
17,163,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.2375
17,163,PM2.5 Raw Data,Micrograms/cubic meter (LC),4.717073
17,163,PM2.5 Raw Data,Micrograms/cubic meter (LC),4.56
17,163,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),4.995122
17,163,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),4.86
17,167,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.489407
17,167,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.505172
17,167,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.505172
17,167,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.505172
17,167,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.505172
17,179,Sulfur dioxide,Parts per billion,1.963333
17,179,Sulfur dioxide,Parts per billion,0.888432
17,179,Sulfur dioxide,Parts per billion,0.888333
17,179,Sulfur dioxide,Parts per billion,0.858526
17,179,SO2 max 5-min avg,Parts per billion,1.312334
17,185,Sulfur dioxide,Parts per billion,1.647253
17,185,Sulfur dioxide,Parts per billion,0.706151
17,185,Sulfur dioxide,Parts per billion,0.707692
17,185,Sulfur dioxide,Parts per billion,0.684921
17,185,SO2 max 5-min avg,Parts per billion,0.951706
17,185,Wind Speed - Scalar,Knots,4.983196
17,185,Wind Direction - Scalar,Degrees Compass,195.685897
17,185,Wind Speed - Resultant,Knots,4.736876
17,185,Wind Direction - Resultant,Degrees Compass,195.620421
17,197,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.631718
17,197,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.543103
17,197,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.543103
17,197,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.543103
17,197,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.543103
17,197,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.568036
17,197,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.518333
17,197,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.518333
17,197,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.518333
17,197,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.518333
17,201,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.114544
17,201,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.061667
17,201,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.061667
17,201,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.061667
17,201,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.061667
18,3,Ozone,Parts per million,0.036452
18,3,Ozone,Parts per million,0.033613
18,3,Ozone,Parts per million,0.033613
18,3,Ozone,Parts per million,0.033567
18,3,Ozone,Parts per million,0.036677
18,3,Ozone,Parts per million,0.033742
18,3,Ozone,Parts per million,0.033742
18,3,Ozone,Parts per million,0.033667
18,3,Wind Speed - Scalar,Knots,6.023901
18,3,Wind Speed - Resultant,Knots,5.619362
18,3,Wind Direction - Resultant,Degrees Compass,215.634043
18,3,Peak Wind Gust,Knots,12.698582
18,3,Std Dev Hz Wind Direction,Degrees Compass,20.878723
18,3,Outdoor Temperature,Degrees Fahrenheit,31.652778
18,3,Dew Point,Degrees Fahrenheit,25.169444
18,3,Relative Humidity ,Percent relative humidity,78.024306
18,3,Barometric pressure,Millibars,989.432639
18,3,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.352301
18,3,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.306667
18,3,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.306667
18,3,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.306667
18,3,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.306667
18,5,Carbon dioxide,Parts per million,420.776584
18,5,Ozone,Parts per million,0.038172
18,5,Ozone,Parts per million,0.035357
18,5,Ozone,Parts per million,0.035357
18,5,Ozone,Parts per million,0.034607
18,5,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.379595
18,5,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.333333
18,5,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.333333
18,5,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.333333
18,5,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.333333
18,11,Ozone,Parts per million,0.038258
18,11,Ozone,Parts per million,0.03529
18,11,Ozone,Parts per million,0.03529
18,11,Ozone,Parts per million,0.034733
18,13,Ozone,Parts per million,0.040097
18,13,Ozone,Parts per million,0.037387
18,13,Ozone,Parts per million,0.037387
18,13,Ozone,Parts per million,0.0368
18,15,Ozone,Parts per million,0.03571
18,15,Ozone,Parts per million,0.032839
18,15,Ozone,Parts per million,0.032839
18,15,Ozone,Parts per million,0.032533
18,15,Wind Speed - Scalar,Knots,9.129369
18,15,Wind Speed - Resultant,Knots,8.993691
18,15,Wind Direction - Resultant,Degrees Compass,210.635243
18,15,Peak Wind Gust,Knots,13.385134
18,15,Std Dev Hz Wind Direction,Degrees Compass,9.833938
18,15,Outdoor Temperature,Degrees Fahrenheit,31.307799
18,15,Relative Humidity ,Percent relative humidity,83.227019
18,19,Ozone,Parts per million,0.039387
18,19,Ozone,Parts per million,0.035935
18,19,Ozone,Parts per million,0.035935
18,19,Ozone,Parts per million,0.035433
18,19,Wind Speed - Scalar,Knots,5.157233
18,19,Wind Speed - Resultant,Knots,4.892065
18,19,Wind Direction - Resultant,Degrees Compass,193.547753
18,19,Peak Wind Gust,Knots,10.61573
18,19,Std Dev Hz Wind Direction,Degrees Compass,19.292135
18,19,Outdoor Temperature,Degrees Fahrenheit,37.435933
18,19,Dew Point,Degrees Fahrenheit,28.585655
18,19,Relative Humidity ,Percent relative humidity,73.316156
18,19,Barometric pressure,Millibars,997.739402
18,19,Sample Flow Rate- CV,Percent,0.081481
18,19,Sample Flow Rate- CV,Percent,0
18,19,Sample Volume,Cubic meter,23.996296
18,19,Sample Volume,Cubic meter,24
18,19,Ambient Min Temperature,Degrees Centigrade,-1.092593
18,19,Ambient Min Temperature,Degrees Centigrade,0.557143
18,19,Ambient Max Temperature,Degrees Centigrade,10.4
18,19,Ambient Max Temperature,Degrees Centigrade,12.392857
18,19,Average Ambient Temperature,Degrees Centigrade,4.740741
18,19,Average Ambient Temperature,Degrees Centigrade,6.457143
18,19,Sample Min Baro Pressure,Millimeters (mercury),744.444444
18,19,Sample Min Baro Pressure,Millimeters (mercury),744.714286
18,19,Sample Max Baro Pressure,Millimeters (mercury),753.185185
18,19,Sample Max Baro Pressure,Millimeters (mercury),752.642857
18,19,Average Ambient Pressure,Millimeters (mercury),749.222222
18,19,Average Ambient Pressure,Millimeters (mercury),748.928571
18,19,Elapsed Sample Time,Minutes,1439.296296
18,19,Elapsed Sample Time,Minutes,1439.357143
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.014815
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.014815
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.014815
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.014815
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.864286
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.864286
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.864286
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.864286
18,19,Sample Flow Rate- CV,Percent,0.253333
18,19,Sample Volume,Cubic meter,24
18,19,Ambient Min Temperature,Degrees Centigrade,1.916667
18,19,Ambient Max Temperature,Degrees Centigrade,11.77
18,19,Average Ambient Temperature,Degrees Centigrade,6.706667
18,19,Sample Min Baro Pressure,Millimeters (mercury),747.566667
18,19,Sample Max Baro Pressure,Millimeters (mercury),755.033333
18,19,Average Ambient Pressure,Millimeters (mercury),751.433333
18,19,Elapsed Sample Time,Minutes,1439.733333
18,19,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),13
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.646667
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.646667
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.646667
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.646667
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.392555
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.367857
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.367857
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.367857
18,19,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.367857
18,35,Sample Flow Rate- CV,Percent,0.178125
18,35,Sample Volume,Cubic meter,23.984375
18,35,Ambient Min Temperature,Degrees Centigrade,-1.690625
18,35,Ambient Max Temperature,Degrees Centigrade,7.684375
18,35,Average Ambient Temperature,Degrees Centigrade,3.06875
18,35,Sample Min Baro Pressure,Millimeters (mercury),734.09375
18,35,Sample Max Baro Pressure,Millimeters (mercury),742.9375
18,35,Average Ambient Pressure,Millimeters (mercury),738.8125
18,35,Elapsed Sample Time,Minutes,1439.21875
18,35,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.040625
18,35,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.040625
18,35,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.040625
18,35,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.040625
18,35,Ozone,Parts per million,0.038161
18,35,Ozone,Parts per million,0.034806
18,35,Ozone,Parts per million,0.034806
18,35,Ozone,Parts per million,0.0344
18,37,Sample Flow Rate- CV,Percent,0.054839
18,37,Sample Volume,Cubic meter,24
18,37,Ambient Min Temperature,Degrees Centigrade,1.177419
18,37,Ambient Max Temperature,Degrees Centigrade,10.687097
18,37,Average Ambient Temperature,Degrees Centigrade,5.551613
18,37,Sample Min Baro Pressure,Millimeters (mercury),747.16129
18,37,Sample Max Baro Pressure,Millimeters (mercury),754.870968
18,37,Average Ambient Pressure,Millimeters (mercury),751.225806
18,37,Elapsed Sample Time,Minutes,1439.548387
18,37,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),10.666667
18,37,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.174194
18,37,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.174194
18,37,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.174194
18,37,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.174194
18,39,Ozone,Parts per million,0.035645
18,39,Ozone,Parts per million,0.032774
18,39,Ozone,Parts per million,0.032774
18,39,Ozone,Parts per million,0.0328
18,39,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.861522
18,39,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.744828
18,39,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.744828
18,39,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.744828
18,39,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.744828
18,43,Sulfur dioxide,Parts per billion,0.838182
18,43,Sulfur dioxide,Parts per billion,0.448097
18,43,Sulfur dioxide,Parts per billion,0.443636
18,43,Sulfur dioxide,Parts per billion,0.418415
18,43,SO2 max 5-min avg,Parts per billion,0.610682
18,43,Ozone,Parts per million,0.038581
18,43,Ozone,Parts per million,0.035548
18,43,Ozone,Parts per million,0.035548
18,43,Ozone,Parts per million,0.035
18,51,Sulfur dioxide,Parts per billion,2.919318
18,51,Sulfur dioxide,Parts per billion,1.230308
18,51,Sulfur dioxide,Parts per billion,1.228409
18,51,Sulfur dioxide,Parts per billion,1.21293
