State Code,County Code,Parameter Name,Units of Measure,Arithmetic Mean
18,89,Average Ambient Temperature,Degrees Centigrade,0.87
18,89,Sample Min Baro Pressure,Millimeters (mercury),743.9
18,89,Sample Max Baro Pressure,Millimeters (mercury),752.4
18,89,Average Ambient Pressure,Millimeters (mercury),748.4
18,89,Elapsed Sample Time,Minutes,1438.966667
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.256667
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.256667
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.256667
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.256667
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.256667
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.256667
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.256667
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),10.256667
18,89,Sample Flow Rate- CV,Percent,0.070968
18,89,Sample Flow Rate- CV,Percent,0.264286
18,89,Sample Volume,Cubic meter,23.987097
18,89,Sample Volume,Cubic meter,24
18,89,Ambient Min Temperature,Degrees Centigrade,-2.651613
18,89,Ambient Min Temperature,Degrees Centigrade,-4.007143
18,89,Ambient Max Temperature,Degrees Centigrade,5.783871
18,89,Ambient Max Temperature,Degrees Centigrade,4.628571
18,89,Average Ambient Temperature,Degrees Centigrade,1.648387
18,89,Average Ambient Temperature,Degrees Centigrade,0.328571
18,89,Sample Min Baro Pressure,Millimeters (mercury),741.645161
18,89,Sample Min Baro Pressure,Millimeters (mercury),742.5
18,89,Sample Max Baro Pressure,Millimeters (mercury),749.967742
18,89,Sample Max Baro Pressure,Millimeters (mercury),752
18,89,Average Ambient Pressure,Millimeters (mercury),746.064516
